UMAP1,UMAP2,Group,Sensitivity,Intensity_LowerQuartileIntensity_pLCK,pLCK_x_AreaShape_Area,subtype
8.136825,13.004552,SJ65,1,0.002949893,4.349323752,TAL1 DP-like with LMO2::TRB
10.767465,13.851649,SJ65,1,0.003621289,5.285972406,TAL1 DP-like with LMO2::TRB
12.806945,8.125515,SJ65,1,-0.000101912,0.76014728,TAL1 DP-like with LMO2::TRB
9.820551,7.713064,SJ65,1,-0.004679619,-0.82090944,TAL1 DP-like with LMO2::TRB
9.027756,13.751413,SJ65,1,0.01032,12.71125627,TAL1 DP-like with LMO2::TRB
11.676969,7.429133,SJ65,1,-0.00559516,-1.04167512,TAL1 DP-like with LMO2::TRB
12.78271,6.995806,SJ65,1,-0.001627815,1.27497744,TAL1 DP-like with LMO2::TRB
10.809179,7.8982053,SJ65,1,0.001759689,1.35278906,TAL1 DP-like with LMO2::TRB
8.0069475,12.179563,SJ65,1,-0.002421284,0.53729955,TAL1 DP-like with LMO2::TRB
7.8712564,7.8898873,SJ65,1,-0.004481252,-0.572149983,TAL1 DP-like with LMO2::TRB
9.400758,7.023086,SJ65,1,-0.000895381,2.398743048,TAL1 DP-like with LMO2::TRB
8.564699,13.535865,SJ65,1,0.003880693,1.974740982,TAL1 DP-like with LMO2::TRB
11.087293,12.014169,SJ65,1,0.004780976,3.90034112,TAL1 DP-like with LMO2::TRB
9.634129,8.334309,SJ65,1,0.000630522,2.527495551,TAL1 DP-like with LMO2::TRB
7.8785176,7.429769,SJ65,1,-0.012553274,-1.34525016,TAL1 DP-like with LMO2::TRB
9.28219,9.322118,SJ65,1,0.003392404,5.029426391,TAL1 DP-like with LMO2::TRB
11.263061,12.842198,SJ65,1,0.00017275,4.887488385,TAL1 DP-like with LMO2::TRB
12.964359,9.268651,SJ65,1,0.002003834,2.449512794,TAL1 DP-like with LMO2::TRB
13.01089,9.08626,SJ65,1,0.000188009,1.297588737,TAL1 DP-like with LMO2::TRB
10.352966,8.28211,SJ65,1,0.002247978,2.255702868,TAL1 DP-like with LMO2::TRB
9.987677,5.107961,SJ65,1,-0.003489415,0.235790456,TAL1 DP-like with LMO2::TRB
9.203584,13.1263485,SJ65,1,-0.000208725,2.433319245,TAL1 DP-like with LMO2::TRB
9.621574,13.3527155,SJ65,1,0.003834916,5.643902236,TAL1 DP-like with LMO2::TRB
10.131284,6.0312786,SJ65,1,-0.002848536,-0.0263268,TAL1 DP-like with LMO2::TRB
8.366731,13.423801,SJ65,1,0.003071965,2.518625376,TAL1 DP-like with LMO2::TRB
10.8857155,12.468906,SJ65,1,-0.000330798,2.415650515,TAL1 DP-like with LMO2::TRB
11.630278,9.379774,SJ65,1,-0.00138367,0.648640959,TAL1 DP-like with LMO2::TRB
9.370254,5.8084583,SJ65,1,-0.003580969,-0.599066569,TAL1 DP-like with LMO2::TRB
12.494223,6.462062,SJ65,1,-0.002055067,0.893826066,TAL1 DP-like with LMO2::TRB
12.500569,11.152657,SJ65,1,0.001637617,2.828004174,TAL1 DP-like with LMO2::TRB
12.871112,7.149623,SJ65,1,-0.001017454,2.19352426,TAL1 DP-like with LMO2::TRB
8.90014,13.981416,SJ65,1,0.008031147,5.546968713,TAL1 DP-like with LMO2::TRB
11.893334,12.3346615,SJ65,1,0.002583676,2.28593232,TAL1 DP-like with LMO2::TRB
12.730971,10.785674,SJ65,1,0.006001697,8.344338208,TAL1 DP-like with LMO2::TRB
12.286038,12.273422,SJ65,1,0.001927538,3.066451809,TAL1 DP-like with LMO2::TRB
11.087222,5.818985,SJ65,1,-0.005900341,-1.43213424,TAL1 DP-like with LMO2::TRB
10.210914,5.1116643,SJ65,1,-0.003977704,-0.386775485,TAL1 DP-like with LMO2::TRB
11.562644,9.340241,SJ65,1,0.000264304,2.237225172,TAL1 DP-like with LMO2::TRB
13.278759,10.259272,SJ65,1,0.004109578,3.339601284,TAL1 DP-like with LMO2::TRB
9.274834,12.983571,SJ65,1,0.003377145,3.344199552,TAL1 DP-like with LMO2::TRB
12.803885,6.9559245,SJ65,1,-0.001978772,0.447460175,TAL1 DP-like with LMO2::TRB
12.750518,11.900393,SJ65,1,0.009084019,6.35321995,TAL1 DP-like with LMO2::TRB
12.611383,10.8140135,SJ65,1,0.004826752,4.283820525,TAL1 DP-like with LMO2::TRB
11.923754,12.769421,SJ65,1,0.008076924,5.458196272,TAL1 DP-like with LMO2::TRB
