UMAP1,UMAP2,Group,Sensitivity,Intensity_UpperQuartileIntensity_pBCL2,Intensity_MinIntensityEdge_BCL_2,subtype
4.075871,-0.5156302,SJ65,0,-0.022860143,0.001230538,TAL1 DP-like with LMO2::TRB
-0.7902789,1.8057251,SJ65,0,0.049372242,-0.002675772,TAL1 DP-like with LMO2::TRB
0.5574415,0.8842909,SJ65,0,0.103400633,0.002817476,TAL1 DP-like with LMO2::TRB
1.5034552,-0.21138473,SJ65,0,0.009946749,-0.00285888,TAL1 DP-like with LMO2::TRB
6.3494825,2.0838368,SJ65,0,0.037897468,0.001657791,TAL1 DP-like with LMO2::TRB
3.7900555,0.65271866,SJ65,0,0.031927363,-0.002187483,TAL1 DP-like with LMO2::TRB
-1.2021182,3.130716,SJ65,0,0.090491489,-0.002370591,TAL1 DP-like with LMO2::TRB
7.6370506,0.95099616,SJ65,0,0.041693137,-0.001210906,TAL1 DP-like with LMO2::TRB
1.6692362,0.009158351,SJ65,0,0.018533763,-0.00285888,TAL1 DP-like with LMO2::TRB
3.5438933,-0.6196665,SJ65,0,-0.006380405,0.002146079,TAL1 DP-like with LMO2::TRB
4.1029367,-0.90912414,SJ65,0,-0.018827955,-0.002492663,TAL1 DP-like with LMO2::TRB
-1.3947058,2.0130818,SJ65,0,0.084052191,-0.00285888,TAL1 DP-like with LMO2::TRB
3.7513373,-0.74772674,SJ65,0,-0.033709309,0.000986394,TAL1 DP-like with LMO2::TRB
1.3298485,0.6780688,SJ65,0,0.026289151,-0.002370591,TAL1 DP-like with LMO2::TRB
5.1037636,2.0321674,SJ65,0,0.050631114,-0.00176023,TAL1 DP-like with LMO2::TRB
6.748817,1.5262251,SJ65,0,-0.091747,-0.00279788,TAL1 DP-like with LMO2::TRB
-0.39188328,1.5270451,SJ65,0,0.040228293,-5.12E-05,TAL1 DP-like with LMO2::TRB
5.4503345,1.3192266,SJ65,0,-0.026243835,-0.00285888,TAL1 DP-like with LMO2::TRB
6.0731487,-0.2853068,SJ65,0,-0.075038373,-0.00285888,TAL1 DP-like with LMO2::TRB
3.8505561,-0.5067994,SJ65,0,-0.002455021,-0.000905725,TAL1 DP-like with LMO2::TRB
2.30319,-0.23414087,SJ65,0,0.01087755,-0.002736808,TAL1 DP-like with LMO2::TRB
0.4555364,0.7750377,SJ65,0,0.070013896,-0.002614736,TAL1 DP-like with LMO2::TRB
4.450566,4.334147,SJ65,0,0.026128934,0.000803285,TAL1 DP-like with LMO2::TRB
5.6785884,0.687673,SJ65,0,-0.031378499,-0.001516086,TAL1 DP-like with LMO2::TRB
-0.97782356,2.1268446,SJ65,0,0.103370101,0.004648559,TAL1 DP-like with LMO2::TRB
6.2834387,-1.0449275,SJ65,0,-0.052275724,-0.00285888,TAL1 DP-like with LMO2::TRB
0.44316983,0.8798056,SJ65,0,0.035665826,0.001291574,TAL1 DP-like with LMO2::TRB
5.2518096,4.8915133,SJ65,0,0.009286792,0.001291574,TAL1 DP-like with LMO2::TRB
3.0538802,-0.23204282,SJ65,0,0.003255666,-0.00285888,TAL1 DP-like with LMO2::TRB
-2.1549428,2.5869987,SJ65,0,0.12987502,-0.00285888,TAL1 DP-like with LMO2::TRB
4.314602,-0.7254517,SJ65,0,-0.045023873,-0.002675772,TAL1 DP-like with LMO2::TRB
4.9854503,4.0821733,SJ65,0,-0.025858543,0.001108466,TAL1 DP-like with LMO2::TRB
4.8453054,1.843157,SJ65,0,-0.018568552,-0.002431627,TAL1 DP-like with LMO2::TRB
-0.48291036,2.0559058,SJ65,0,0.149604947,-0.00285888,TAL1 DP-like with LMO2::TRB
5.479981,2.4844553,SJ65,0,0.016363174,0.002268151,TAL1 DP-like with LMO2::TRB
3.6035082,1.2906144,SJ65,0,0.025976346,-0.00145505,TAL1 DP-like with LMO2::TRB
6.5775104,1.3750986,SJ65,0,-0.104766767,0.019358256,TAL1 DP-like with LMO2::TRB
4.898933,-0.03498211,SJ65,0,-0.011148854,-0.00285888,TAL1 DP-like with LMO2::TRB
4.211109,3.914998,SJ65,0,0.025144742,-0.00279788,TAL1 DP-like with LMO2::TRB
5.4290385,3.0450804,SJ65,0,-0.050597235,0.001718827,TAL1 DP-like with LMO2::TRB
0.97393376,0.49587736,SJ65,0,0.031179682,-0.002614736,TAL1 DP-like with LMO2::TRB
5.7506084,0.9085912,SJ65,0,0.04029695,-0.00285888,TAL1 DP-like with LMO2::TRB
-0.007035923,1.4000858,SJ65,0,0.07839872,-0.002675772,TAL1 DP-like with LMO2::TRB
2.11862,0.20142247,SJ65,0,0.050009318,-0.002370591,TAL1 DP-like with LMO2::TRB
5.053705,-0.21025841,SJ65,0,-0.034655377,-0.0025537,TAL1 DP-like with LMO2::TRB
5.3090386,1.2305875,SJ65,0,0.021936522,0.010141807,TAL1 DP-like with LMO2::TRB
4.9303107,0.6104703,SJ65,0,-0.041117567,-0.00285888,TAL1 DP-like with LMO2::TRB
0.49408975,1.3675097,SJ65,0,0.014085755,-0.000966761,TAL1 DP-like with LMO2::TRB
